train/entropy_loss,time/iterations,time/time_elapsed,train/policy_loss,train/value_loss,time/total_timesteps,train/reward,train/n_updates,train/explained_variance,train/learning_rate,train/std,time/fps
-69.03465270996094,2800,151,185.25369262695312,12.624269485473633,14000,0.18282677,2799,5.960464477539063e-08,0.0007,1.0202306509017944,92
-69.03563690185547,2900,157,-17.100982666015625,7.907242774963379,14500,-0.33656946,2899,0.0,0.0007,1.0203322172164917,91
-69.05776977539062,3000,163,277.30841064453125,23.030223846435547,15000,1.4457698,2999,0.0,0.0007,1.0205529928207397,91
-69.00477600097656,3100,171,-59.1781120300293,4.2282633781433105,15500,-2.2950706,3099,0.0,0.0007,1.0194987058639526,90
-69.12741088867188,3200,177,-266.96405029296875,17.86319923400879,16000,2.1189141,3199,-1.1920928955078125e-07,0.0007,1.0222272872924805,90
-69.143798828125,3300,182,265.88201904296875,28.074657440185547,16500,-0.15280503,3299,0.0,0.0007,1.0227059125900269,90
-69.13957214355469,3400,189,-120.14617919921875,4.891021251678467,17000,1.2257671,3399,-1.1920928955078125e-07,0.0007,1.022562861442566,89
-69.1496353149414,3500,197,-632.9669799804688,89.74764251708984,17500,-0.942293,3499,0.0,0.0007,1.0226266384124756,88
-69.16636657714844,3600,203,-104.203857421875,2.8086001873016357,18000,1.973606,3599,0.0,0.0007,1.0230413675308228,88
-69.15449523925781,3700,209,146.7931671142578,10.08928394317627,18500,-1.73868,3699,-1.1920928955078125e-07,0.0007,1.0228995084762573,88
-69.17268371582031,3800,214,-108.76380920410156,3.607895612716675,19000,-0.24509081,3799,0.0,0.0007,1.023474931716919,88
-69.27203369140625,3900,220,-1.6377280950546265,0.37731626629829407,19500,0.05429392,3899,0.0,0.0007,1.0254582166671753,88
-69.28953552246094,4000,225,-167.40724182128906,8.832780838012695,20000,0.19064014,3999,-1.1920928955078125e-07,0.0007,1.0258220434188843,88
-69.3551254272461,4100,231,-133.24124145507812,6.356801509857178,20500,1.7138847,4099,0.0,0.0007,1.0273529291152954,88
-69.45289611816406,4200,236,247.1747283935547,15.283404350280762,21000,3.4168253,4199,0.0,0.0007,1.0293864011764526,88
-69.47752380371094,4300,243,-92.61320495605469,6.296781539916992,21500,-0.43458974,4299,0.0,0.0007,1.029780626296997,88
-69.57188415527344,4400,250,-20.54120445251465,0.8720240592956543,22000,-0.880143,4399,5.960464477539063e-08,0.0007,1.0318735837936401,87
-69.6037826538086,4500,256,-323.95831298828125,25.3592472076416,22500,-0.29601473,4499,-1.1920928955078125e-07,0.0007,1.0326443910598755,87
-69.69376373291016,4600,263,-21.393239974975586,0.3648715913295746,23000,1.0583334,4599,0.0,0.0007,1.0347700119018555,87
-69.73906707763672,4700,269,7.984837532043457,0.7814570665359497,23500,-1.898439,4699,-1.1920928955078125e-07,0.0007,1.0355358123779297,87
